,Team,MP,Pts
1,Brighton & Hove Albion,37,86.86418877664843
0,Manchester City,36,81.95484495813356
11,Brentford,37,76.28607174514146
8,Liverpool,37,67.2557678193466
12,Arsenal,37,66.10649407927437
14,Chelsea,37,65.38679846877146
3,Manchester United,37,57.65137336799637
15,Ipswich Town,37,52.85503224426923
10,AFC Bournemouth,37,52.152885391891864
6,Nottingham Forest,37,51.81836994457201
13,Sunderland,37,49.58420112010175
16,Leeds United,37,47.85843352254882
19,Crystal Palace,36,45.6907383932477
7,Hull City,37,45.33513011107966
18,Fulham,37,38.248380290396526
9,Newcastle United,37,36.81163528095653
4,Coventry City,37,35.987879524396284
5,Tottenham Hotspur,37,27.82881845252369
2,Everton,37,26.786037811379448
17,Aston Villa,37,17.634026963497078
