,Team,MP,xPts
1,Brighton & Hove Albion,38,89.86418877664843
0,Manchester City,38,87.95484495813356
3,Brentford,38,79.28607174514146
2,Arsenal,38,69.10649407927437
6,Chelsea,38,68.38679846877146
9,Liverpool,38,68.2557678193466
15,Manchester United,38,57.65137336799637
7,Ipswich Town,38,55.85503224426923
12,AFC Bournemouth,38,52.152885391891864
14,Nottingham Forest,38,51.81836994457201
8,Leeds United,38,50.85843352254882
13,Sunderland,38,49.58420112010175
4,Hull City,38,48.33513011107966
19,Crystal Palace,38,45.6907383932477
11,Fulham,38,38.248380290396526
10,Newcastle United,38,37.81163528095653
17,Coventry City,38,35.987879524396284
5,Everton,38,29.786037811379448
16,Tottenham Hotspur,38,27.82881845252369
18,Aston Villa,38,17.634026963497078
