,Team,MP,Simulated Pts,Simulated GD
0,Manchester City,38,99,87
9,Arsenal,38,91,94
3,Brentford,38,91,88
8,Brighton & Hove Albion,38,85,70
18,Crystal Palace,38,66,14
13,Nottingham Forest,38,65,24
7,Leeds United,38,63,22
2,Chelsea,38,58,12
12,AFC Bournemouth,38,53,-2
16,Coventry City,38,52,-8
10,Sunderland,38,52,-12
11,Liverpool,38,47,-24
6,Ipswich Town,38,46,-4
15,Fulham,38,45,-24
5,Everton,38,42,-38
1,Hull City,38,34,-30
14,Manchester United,38,26,-65
4,Newcastle United,38,20,-56
17,Aston Villa,38,17,-80
19,Tottenham Hotspur,38,15,-68
