,Team,Avg Position,Title,CL,EL,UECL,Relegation
2,Arsenal,1.6135,0.5917,1.0,0.0,0.0,0.0
0,Manchester City,2.4452,0.2069,0.9993,0.0007,0.0,0.0
1,Brighton & Hove Albion,2.7333,0.1405,0.9985,0.0015,0.0,0.0
3,Brentford,3.305,0.0609,0.9941,0.0051,0.0007,0.0
5,Nottingham Forest,6.1031,0.0,0.4158,0.2921,0.1476,0.0
4,Chelsea,6.1473,0.0,0.4069,0.2903,0.146,0.0
10,Leeds United,7.9451,0.0,0.0862,0.1601,0.2296,0.0
6,Ipswich Town,8.5822,0.0,0.0536,0.113,0.1821,0.0
9,Crystal Palace,9.9091,0.0,0.017,0.0507,0.0955,0.0009
8,Coventry City,10.2249,0.0,0.0117,0.04,0.0793,0.0004
11,AFC Bournemouth,10.5834,0.0,0.012,0.0294,0.0653,0.0012
7,Sunderland,11.7173,0.0,0.0032,0.0106,0.0284,0.0041
13,Liverpool,12.5732,0.0,0.001,0.0041,0.015,0.0122
12,Everton,13.2554,0.0,0.0007,0.0017,0.0067,0.0228
14,Fulham,14.169,0.0,0.0,0.0007,0.0038,0.0504
18,Hull City,16.4507,0.0,0.0,0.0,0.0,0.2772
16,Newcastle United,17.3692,0.0,0.0,0.0,0.0,0.5084
15,Manchester United,17.468,0.0,0.0,0.0,0.0,0.5451
17,Tottenham Hotspur,17.6389,0.0,0.0,0.0,0.0,0.5907
19,Aston Villa,19.7662,0.0,0.0,0.0,0.0,0.9866
