,Team,MP,Pts
14,Manchester City,34,72.43112855805168
8,Arsenal,34,71.55374669922382
3,Manchester United,34,67.6577720731827
19,Brighton & Hove Albion,34,58.0469420296607
12,Sunderland,34,55.943790712586114
11,AFC Bournemouth,34,55.23564189894666
2,Brentford,34,54.42487222260159
13,Chelsea,34,53.71610819657819
9,Nottingham Forest,34,50.802715153168315
10,Leeds United,35,50.3286465628612
4,Everton,34,43.75308556816927
17,Coventry City,34,43.051386505276696
5,Ipswich Town,34,42.60196902199801
16,Liverpool,34,41.73939704016006
15,Hull City,34,39.708920209878606
1,Crystal Palace,34,37.54140986551495
18,Fulham,34,36.71023940150782
6,Tottenham Hotspur,34,25.987559294659434
7,Aston Villa,34,25.692447594723447
0,Newcastle United,35,23.140006871804705
