,Team,MP,xPts
3,Chelsea,38,89.94775350694019
2,Arsenal,38,87.04189317478092
0,Manchester City,38,80.94534819275806
8,Brighton & Hove Albion,38,76.18987762511688
4,Brentford,38,73.6196488260864
11,Manchester United,38,62.36664933052807
10,Sunderland,38,62.25029877101506
19,Coventry City,38,60.392865184951546
7,Leeds United,38,59.54207815015645
18,Fulham,38,55.50337882271411
12,Crystal Palace,38,46.40917122649088
15,Nottingham Forest,38,45.20298476318153
1,Hull City,38,42.64589153926125
14,AFC Bournemouth,38,36.23472770519049
13,Ipswich Town,38,35.724340177021055
16,Aston Villa,38,33.98582063965218
5,Liverpool,38,32.033991244413684
9,Everton,38,31.95489026364333
17,Tottenham Hotspur,38,28.783764683135693
6,Newcastle United,38,20.529215039149285
