,Team,MP,Simulated Pts,Simulated GD
0,Arsenal,38,103,89
1,Manchester City,38,88,65
9,Brighton & Hove Albion,38,82,71
19,Coventry City,38,72,34
3,Chelsea,38,66,36
4,Brentford,38,57,12
12,Crystal Palace,38,56,-11
11,Sunderland,38,53,10
8,Leeds United,38,53,0
14,AFC Bournemouth,38,50,0
10,Manchester United,38,48,-14
18,Fulham,38,47,-4
5,Everton,38,47,-15
2,Hull City,38,43,-19
17,Tottenham Hotspur,38,41,-20
6,Liverpool,38,40,-53
15,Nottingham Forest,38,39,-28
16,Aston Villa,38,36,-26
13,Ipswich Town,38,24,-52
7,Newcastle United,38,19,-75
