,Team,Avg Position,Title,CL,EL,UECL,Relegation
1,Manchester City,1.6618,0.5068,0.9966,0.002,0.0006,0.0
0,Arsenal,1.7643,0.4395,0.9953,0.0034,0.0008,0.0
2,Manchester United,3.7647,0.0392,0.865,0.0565,0.0355,0.0
5,Brighton & Hove Albion,5.3799,0.0094,0.6031,0.1294,0.0904,0.0
11,Chelsea,7.0845,0.0018,0.331,0.1395,0.1307,0.0003
9,Brentford,7.1864,0.0014,0.3236,0.1361,0.1259,0.0001
8,Sunderland,7.4656,0.001,0.2817,0.1321,0.1329,0.0
7,Leeds United,8.1623,0.0004,0.2038,0.1148,0.126,0.0001
14,AFC Bournemouth,8.3725,0.0003,0.1864,0.1083,0.1179,0.0003
3,Nottingham Forest,9.0008,0.0002,0.1367,0.0874,0.1065,0.0006
4,Everton,11.7628,0.0,0.0237,0.0263,0.0391,0.0089
13,Ipswich Town,12.1885,0.0,0.02,0.0188,0.0306,0.0133
10,Hull City,12.3628,0.0,0.0136,0.0194,0.0258,0.0146
6,Liverpool,12.6227,0.0,0.014,0.016,0.0232,0.0208
15,Coventry City,14.071,0.0,0.0039,0.0064,0.009,0.0611
12,Crystal Palace,15.1685,0.0,0.0013,0.0027,0.0039,0.1277
19,Fulham,15.9287,0.0,0.0003,0.0009,0.0012,0.2103
18,Tottenham Hotspur,18.5149,0.0,0.0,0.0,0.0,0.8167
16,Aston Villa,18.6678,0.0,0.0,0.0,0.0,0.842
17,Newcastle United,18.8695,0.0,0.0,0.0,0.0,0.8832
