,Team,MP,Pts
8,Arsenal,33,68.42849516643494
15,Manchester City,33,60.60448565408882
16,Manchester United,33,56.589543289138064
4,Brighton & Hove Albion,33,52.60985524700259
18,AFC Bournemouth,33,52.17124332822178
14,Liverpool,33,48.149248026728756
1,Chelsea,33,47.1645215655401
5,Brentford,33,46.881937342760665
9,Leeds United,33,45.53059843011195
12,Sunderland,33,43.35991765213472
13,Crystal Palace,33,42.93358672657675
3,Aston Villa,33,41.91320289855097
10,Everton,33,41.76617646197983
19,Nottingham Forest,33,40.79641876126436
2,Newcastle United,33,40.144903881253306
0,Hull City,33,38.43173774267031
17,Fulham,33,38.345565578340654
6,Coventry City,33,36.79951019098229
7,Tottenham Hotspur,33,36.44328336567017
11,Ipswich Town,33,35.764588830363365
