,Team,MP,xPts
0,Arsenal,38,83.70155891264243
1,Manchester City,38,76.6376252847514
12,Manchester United,38,62.70040796294233
4,Brighton & Hove Albion,38,58.79597947817739
14,AFC Bournemouth,38,57.54321460598111
5,Chelsea,38,56.535372574523
2,Leeds United,38,55.29074738264067
8,Liverpool,38,54.122420965505206
6,Brentford,38,52.60091227188279
7,Everton,38,48.09610346867907
3,Hull City,38,47.70793673233817
10,Nottingham Forest,38,46.96589766457731
15,Crystal Palace,38,46.69786433838751
11,Newcastle United,38,46.59230128338441
9,Ipswich Town,38,46.23494410640319
13,Sunderland,38,45.679387427983244
18,Aston Villa,38,43.78149300986125
19,Coventry City,38,40.16621948495363
17,Fulham,38,39.60890291217322
16,Tottenham Hotspur,38,39.27070293452882
