,Team,MP,Simulated Pts,Simulated GD
0,Arsenal,38,89,61
8,Brighton & Hove Albion,38,69,27
1,Manchester City,38,68,18
12,Liverpool,38,67,18
9,Manchester United,38,63,20
13,AFC Bournemouth,38,62,22
6,Newcastle United,38,59,1
10,Sunderland,38,57,-9
3,Chelsea,38,56,16
14,Nottingham Forest,38,56,4
15,Fulham,38,49,-7
17,Aston Villa,38,49,-14
18,Crystal Palace,38,48,-5
7,Leeds United,38,46,-7
4,Brentford,38,44,-11
19,Tottenham Hotspur,38,44,-13
2,Hull City,38,43,-18
16,Coventry City,38,38,-20
5,Everton,38,34,-18
11,Ipswich Town,38,21,-65
