,Team,MP,Pts
6,Real Madrid,36,104.06458872928302
19,Espanyol,36,93.67196754934538
14,Barcelona,36,85.66706290432504
11,Villarreal,35,69.56997007401887
9,Levante,36,68.09577018794153
5,Osasuna,36,67.85185083401436
2,Racing Santander,35,64.51162132666855
4,Alavés,35,61.98971522793082
17,Real Sociedad,36,58.77869057398602
0,Real Betis,36,54.7481784445944
10,Elche,35,45.088597942984556
15,Getafe,36,42.37707354499252
12,Valencia,36,40.04901025239185
8,Celta Vigo,36,28.997105603315205
1,Athletic Club,36,28.774837522310587
3,Rayo Vallecano,36,27.1418594631078
13,Atlético Madrid,36,21.302621652579283
7,Sevilla,36,20.276313645957668
16,Deportivo La Coruña,36,15.54871249399507
18,Málaga,36,11.02573480099369
