,Team,MP,xPts
2,Real Madrid,38,110.06458872928302
8,Espanyol,38,96.67196754934538
1,Barcelona,38,91.66706290432504
6,Osasuna,38,71.85185083401436
11,Villarreal,38,71.56997007401887
16,Levante,38,69.09577018794153
0,Alavés,38,68.98971522793082
7,Racing Santander,38,68.51162132666855
4,Real Betis,38,60.7481784445944
18,Real Sociedad,38,58.77869057398602
17,Elche,38,46.088597942984556
9,Getafe,38,45.37707354499252
14,Valencia,38,41.04901025239185
13,Celta Vigo,38,29.997105603315205
19,Athletic Club,38,28.774837522310587
12,Rayo Vallecano,38,28.1418594631078
3,Sevilla,38,26.276313645957668
5,Atlético Madrid,38,25.302621652579283
10,Deportivo La Coruña,38,17.54871249399507
15,Málaga,38,12.02573480099369
