,Team,MP,Simulated Pts,Simulated GD
2,Real Madrid,38,107,232
1,Barcelona,38,97,151
8,Espanyol,38,93,144
6,Osasuna,38,75,61
0,Alavés,38,72,30
7,Racing Santander,38,71,34
18,Real Sociedad,38,70,13
16,Levante,38,67,35
11,Villarreal,38,66,45
4,Real Betis,38,66,6
17,Elche,38,49,-34
9,Getafe,38,48,-34
13,Celta Vigo,38,36,-36
14,Valencia,38,33,-30
3,Sevilla,38,33,-155
19,Athletic Club,38,23,-40
12,Rayo Vallecano,38,18,-70
5,Atlético Madrid,38,17,-83
10,Deportivo La Coruña,38,16,-106
15,Málaga,38,13,-163
