,Team,MP,Pts
0,Barcelona,31,81.72294174794844
16,Real Madrid,31,70.55700760063361
10,Athletic Club,32,64.87354766511197
19,Villarreal,31,59.39863248413679
14,Atlético Madrid,31,59.065685306083594
12,Alavés,31,47.02997315459806
11,Rayo Vallecano,31,45.249707389518704
9,Real Betis,31,44.79772452343619
3,Levante,32,43.58581174295261
5,Elche,31,42.66866009936547
18,Sevilla,31,40.978856975249464
13,Espanyol,31,40.131790318707246
15,Real Sociedad,31,38.14392260418967
8,Racing Santander,31,37.0792935787032
2,Osasuna,31,29.8841473414767
17,Deportivo La Coruña,31,29.731311128846308
1,Celta Vigo,31,26.114600013055558
4,Valencia,31,25.092713396420628
6,Málaga,31,23.69412230694393
7,Getafe,31,20.39079616611587
