,Team,MP,xPts
0,Barcelona,38,103.7475682146906
1,Real Madrid,38,93.75230163115955
7,Athletic Club,38,71.35566622904864
2,Real Betis,38,66.96265389415231
3,Atlético Madrid,38,64.93352616790955
14,Villarreal,38,60.14757937335809
5,Alavés,38,57.37152749080181
15,Levante,38,56.300243971017196
8,Rayo Vallecano,38,54.631387550192834
4,Sevilla,38,53.1269896403708
11,Espanyol,38,50.14178681418879
17,Elche,38,48.49227417057036
12,Real Sociedad,38,45.2511114263866
13,Racing Santander,38,43.17655461010853
9,Osasuna,38,38.62834278806194
6,Deportivo La Coruña,38,34.486664747288316
10,Celta Vigo,38,32.45166544860086
18,Valencia,38,30.506226496442643
19,Málaga,38,28.23267220133537
16,Getafe,38,26.034276847241607
