,Team,MP,Simulated Pts,Simulated GD
0,Barcelona,38,99,115
14,Villarreal,38,97,153
3,Alavés,38,90,75
1,Real Madrid,38,80,60
9,Racing Santander,38,77,50
17,Rayo Vallecano,38,62,10
5,Sevilla,38,54,-18
4,Osasuna,38,52,-8
2,Atlético Madrid,38,52,-11
13,Getafe,38,50,-3
8,Levante,38,50,-20
18,Elche,38,48,-6
12,Real Sociedad,38,47,-12
11,Athletic Club,38,44,-23
10,Espanyol,38,41,-30
6,Real Betis,38,34,-64
19,Málaga,38,32,-52
7,Deportivo La Coruña,38,24,-43
15,Valencia,38,19,-56
16,Celta Vigo,38,16,-117
