,Team,Avg Position,Title,CL,EL,UECL,Relegation
0,Barcelona,1.0074,0.9927,1.0,0.0,0.0,0.0
1,Real Madrid,2.2756,0.0069,0.9875,0.0095,0.0023,0.0
3,Alavés,3.7212,0.0003,0.79,0.1278,0.0532,0.0
2,Villarreal,3.9431,0.0001,0.7374,0.1607,0.0628,0.0
4,Racing Santander,5.324,0.0,0.296,0.308,0.1978,0.0
8,Rayo Vallecano,6.9687,0.0,0.0822,0.1422,0.2099,0.0
10,Elche,7.3927,0.0,0.0507,0.1123,0.1867,0.0002
7,Athletic Club,7.8776,0.0,0.0355,0.0804,0.1431,0.0003
5,Osasuna,8.461,0.0,0.0195,0.0501,0.1117,0.0005
9,Espanyol,11.5536,0.0,0.0004,0.0048,0.0146,0.0199
6,Deportivo La Coruña,11.9621,0.0,0.0004,0.0028,0.0084,0.0236
17,Atlético Madrid,13.2616,0.0,0.0001,0.0007,0.0023,0.061
11,Real Sociedad,13.493,0.0,0.0002,0.0003,0.0026,0.0711
12,Sevilla,13.5215,0.0,0.0001,0.0004,0.0019,0.0746
14,Levante,14.22,0.0,0.0,0.0,0.0016,0.1144
13,Real Betis,15.0666,0.0,0.0,0.0,0.0005,0.1837
15,Getafe,15.2226,0.0,0.0,0.0,0.0006,0.2122
16,Málaga,16.5799,0.0,0.0,0.0,0.0,0.4175
18,Valencia,18.9911,0.0,0.0,0.0,0.0,0.897
19,Celta Vigo,19.1567,0.0,0.0,0.0,0.0,0.924
