,Team,MP,Pts
19,Barcelona,33,74.86744138458522
16,Real Madrid,33,68.71352257447639
2,Villarreal,33,53.000694776148734
9,Athletic Club,33,51.925121891448796
15,Alavés,33,51.32067456304746
13,Real Betis,33,51.19137461415036
8,Atlético Madrid,33,49.74063248802974
0,Rayo Vallecano,33,47.64639964157442
4,Racing Santander,33,46.84840303342894
11,Osasuna,33,45.23260837880169
5,Levante,33,44.70905600579639
14,Real Sociedad,32,41.319210424396594
10,Espanyol,33,39.923865923260095
6,Valencia,33,39.908049877491194
18,Celta Vigo,32,38.08471100100095
1,Elche,33,38.014026512877635
12,Sevilla,33,36.31436824589752
3,Getafe,33,32.198978834396726
17,Málaga,33,31.06759227809281
7,Deportivo La Coruña,33,30.244024687766416
