,Team,MP,xPts
0,Barcelona,38,89.77850920379014
2,Real Madrid,38,79.01788651181882
1,Alavés,38,61.25115426061823
11,Racing Santander,38,60.527553487363484
15,Villarreal,38,60.04909140466751
8,Athletic Club,38,57.86736708523447
3,Real Betis,38,57.031445789538814
5,Atlético Madrid,38,56.189124066419275
7,Osasuna,38,54.53711483635802
12,Rayo Vallecano,38,52.67485366300881
13,Real Sociedad,38,50.7832169740628
9,Levante,38,47.91084562444018
10,Espanyol,38,43.257948208335876
19,Valencia,38,43.03756662280634
6,Sevilla,38,42.90174403303826
16,Celta Vigo,38,42.788153810155364
18,Elche,38,40.617095361071485
4,Deportivo La Coruña,38,39.05068152140315
14,Getafe,38,38.66240839564115
17,Málaga,38,34.3516038865826
