,Team,MP,Pts
7,Marseille,33,74.27076549529454
4,Lens,33,65.0398151785035
17,Paris FC,33,63.37625413711945
5,Brest,33,63.18462558325741
11,Toulouse,33,60.70322926459453
16,Monaco,33,57.63932371714065
9,Lorient,33,54.45041206479169
3,Rennes,33,51.96431566490625
6,Angers,33,45.36932931940753
8,Paris Saint-Germain,32,43.22302181732586
1,Nice,33,37.96577612723581
2,Havre,33,33.99948776383548
13,Lille,32,32.00507863358475
10,Lyon,33,31.62216995614701
12,Le Mans,33,29.54049369963848
0,Auxerre,33,29.357713197234723
15,Troyes,33,27.702681743720515
14,Strasbourg,33,18.042678854777613
