,Team,MP,xPts
1,Marseille,34,77.27076549529454
2,Lens,34,68.0398151785035
10,Paris FC,34,64.37625413711945
6,Brest,34,64.1846255832574
14,Toulouse,34,60.70322926459453
4,Monaco,34,60.63932371714065
11,Lorient,34,55.45041206479169
7,Rennes,34,52.96431566490625
15,Angers,34,45.36932931940753
5,Paris Saint-Germain,34,45.22302181732586
12,Nice,34,38.96577612723581
0,Lille,34,36.00507863358475
3,Lyon,34,34.62216995614701
13,Havre,34,33.99948776383548
8,Le Mans,34,30.54049369963848
16,Auxerre,34,29.357713197234723
9,Troyes,34,28.702681743720515
17,Strasbourg,34,18.042678854777613
