,Team,Avg Position,Title,CL,EL,UECL,Relegation
1,Marseille,1.4097,0.7355,0.9875,0.0085,0.0031,0.0
3,Lens,3.117,0.1301,0.8088,0.0907,0.0546,0.0
0,Paris FC,4.1456,0.0473,0.6048,0.1589,0.1137,0.0
10,Brest,4.1509,0.0495,0.604,0.1614,0.1163,0.0
5,Toulouse,5.1786,0.0158,0.3851,0.1788,0.1803,0.0
2,Monaco,5.2369,0.0165,0.3693,0.1824,0.1742,0.0
6,Lorient,6.7456,0.0035,0.1431,0.1159,0.1675,0.0
4,Rennes,7.482,0.0016,0.0808,0.076,0.1226,0.0
11,Angers,9.762,0.0001,0.0083,0.0122,0.0296,0.0026
9,Paris Saint-Germain,9.7814,0.0001,0.0073,0.0125,0.0292,0.0025
7,Nice,11.7789,0.0,0.0005,0.0018,0.0058,0.0224
8,Lille,12.8374,0.0,0.0001,0.0005,0.0013,0.0522
12,Lyon,13.324,0.0,0.0002,0.0002,0.0009,0.0814
14,Havre,13.5107,0.0,0.0002,0.0002,0.0008,0.0935
15,Le Mans,14.6748,0.0,0.0,0.0,0.0001,0.2234
16,Auxerre,15.0533,0.0,0.0,0.0,0.0,0.2955
13,Troyes,15.1741,0.0,0.0,0.0,0.0,0.3097
17,Strasbourg,17.6371,0.0,0.0,0.0,0.0,0.9168
