,Team,MP,Pts
14,Brest,30,69.67851404609625
8,Paris Saint-Germain,30,60.324211385638506
13,Paris FC,29,55.810777457569976
7,Toulouse,29,55.491004411820256
11,Lyon,29,54.4666854359437
3,Rennes,29,47.02710009799418
12,Lens,29,43.64517660513442
1,Marseille,30,42.746732441839
10,Monaco,29,39.950673829008124
5,Havre,29,39.249520394712846
16,Lille,30,36.38263495457589
0,Lorient,29,33.36001443574333
9,Angers,29,33.15782810062439
6,Le Mans,29,33.1103328939588
15,Strasbourg,29,30.60408808168411
4,Troyes,29,23.39390265489978
2,Auxerre,30,22.84028789957923
17,Nice,30,16.449858850501837
