,Team,MP,xPts
3,Paris FC,34,79.96842325370082
6,Brest,34,75.56199399648295
0,Rennes,34,64.30237802994628
13,Paris Saint-Germain,34,56.25646198610517
9,Lens,34,53.81683705669536
16,Toulouse,34,53.18265293227752
1,Monaco,34,48.16669682785313
10,Marseille,34,48.037771895735304
7,Lorient,34,47.435685218267004
2,Lyon,34,45.89901786435099
8,Troyes,34,43.34774965497428
12,Le Mans,34,43.307521631938634
5,Strasbourg,34,42.58452020851249
4,Lille,34,37.66307710287596
11,Angers,34,36.38730300920693
14,Nice,34,31.89012542206035
15,Havre,34,28.100992486909398
17,Auxerre,34,19.13155172986888
