,Team,Avg Position,Title,CL,EL,UECL,Relegation
1,Paris FC,1.3913,0.6455,0.9993,0.0006,0.0,0.0
0,Brest,1.7584,0.3427,0.9959,0.003,0.001,0.0
5,Rennes,3.9721,0.0098,0.7435,0.1075,0.0623,0.0
3,Paris Saint-Germain,5.7778,0.0008,0.3614,0.1864,0.1382,0.0
6,Lens,6.3467,0.0006,0.2892,0.1552,0.1453,0.0001
2,Toulouse,6.7162,0.0004,0.2381,0.1533,0.1415,0.0004
4,Marseille,7.7193,0.0002,0.1435,0.1139,0.1305,0.0012
8,Monaco,8.8614,0.0,0.0726,0.0783,0.0946,0.0023
10,Lorient,9.211,0.0,0.0577,0.0652,0.0836,0.0019
11,Lyon,9.7192,0.0,0.0432,0.0528,0.0703,0.0051
12,Troyes,10.7778,0.0,0.0215,0.0322,0.0467,0.0138
7,Strasbourg,11.0823,0.0,0.0175,0.0232,0.0364,0.0147
9,Le Mans,11.3437,0.0,0.0128,0.0218,0.035,0.0196
15,Lille,13.4899,0.0,0.0022,0.0038,0.0064,0.0856
13,Angers,13.6713,0.0,0.0014,0.0024,0.0068,0.0944
14,Nice,15.4052,0.0,0.0001,0.0002,0.0008,0.3155
17,Havre,16.0721,0.0,0.0001,0.0002,0.0006,0.5093
16,Auxerre,17.6843,0.0,0.0,0.0,0.0,0.9361
