,Team,MP,Pts
6,Lens,32,66.85200919863392
11,Paris Saint-Germain,32,66.65924513012703
8,Marseille,32,58.01843033067661
14,Lille,32,52.85036425112954
4,Monaco,32,51.11939412419097
13,Strasbourg,32,47.49874963186765
9,Paris FC,32,46.15588703501941
17,Rennes,32,45.50413981439431
15,Toulouse,32,44.495177357053215
10,Lyon,32,44.34277053124698
5,Brest,32,42.239980172079505
0,Lorient,32,41.809442050141
12,Troyes,32,37.53267693629547
16,Auxerre,32,35.92980716035077
1,Nice,32,34.4175241200008
7,Havre,32,32.45523414367742
2,Angers,32,28.79034552890874
3,Le Mans,32,24.674493882924963
