,Team,MP,xPts
8,Paris Saint-Germain,34,68.01253401730625
9,Lens,34,63.245111696684354
1,Monaco,34,57.403195785660174
0,Lille,34,57.12875954433244
2,Rennes,34,54.91562872853533
12,Marseille,34,53.22157557939342
4,Paris FC,34,53.024141254207535
3,Lyon,34,50.943530155561355
5,Strasbourg,34,50.689885316472306
6,Brest,34,48.308658365164234
16,Toulouse,34,47.31807745810098
7,Lorient,34,43.924516596833264
13,Le Mans,34,38.444314222669405
14,Auxerre,34,35.0372400641532
11,Troyes,34,33.06384228955143
17,Nice,34,31.99781872264785
15,Havre,34,30.132263446705103
10,Angers,34,29.955683109787056
