,Team,Avg Position,Title,CL,EL,UECL,Relegation
0,Paris Saint-Germain,2.0302,0.4667,0.9349,0.0317,0.0142,0.0
2,Lens,2.3621,0.376,0.8946,0.0457,0.0274,0.0
8,Monaco,5.132,0.0529,0.4821,0.1293,0.1023,0.0001
5,Rennes,6.4574,0.0214,0.3078,0.1136,0.1133,0.0001
11,Lille,6.5272,0.0221,0.2921,0.1199,0.1089,0.0001
4,Marseille,6.6683,0.0178,0.2705,0.1191,0.1214,0.0005
6,Paris FC,6.7139,0.017,0.2703,0.1118,0.114,0.0001
13,Strasbourg,7.6921,0.0088,0.1747,0.0937,0.104,0.0017
3,Lyon,7.6947,0.0099,0.1781,0.0899,0.099,0.001
7,Brest,9.1477,0.0033,0.0844,0.0597,0.071,0.0039
1,Toulouse,9.2589,0.0029,0.0731,0.0539,0.0717,0.0045
14,Lorient,10.5799,0.0012,0.0341,0.0272,0.0431,0.0118
12,Troyes,13.6562,0.0,0.0017,0.0024,0.0054,0.1218
15,Auxerre,14.1859,0.0,0.0015,0.0015,0.0031,0.1766
9,Nice,15.3818,0.0,0.0,0.0002,0.0006,0.3461
10,Havre,15.6906,0.0,0.0,0.0002,0.0002,0.4091
17,Angers,15.8071,0.0,0.0001,0.0002,0.0002,0.4281
16,Le Mans,16.014,0.0,0.0,0.0,0.0002,0.4945
