,Team,MP,Pts
16,Juventus,37,87.67292726543769
9,Roma,37,84.60958937226472
3,Sassuolo,37,79.86369886721396
11,Napoli,37,73.12140139749725
18,Como,37,67.96045672508409
7,Cagliari,37,66.68626238293541
15,Bologna,37,64.28319613961315
8,Monza,37,61.18000425195253
6,AC Milan,36,54.37214893049228
14,Inter Milan,37,54.192568911788186
19,Lazio,37,50.697571295905455
13,Udinese,37,49.421051383944736
5,Parma,37,47.7417357302479
10,Genoa,37,39.213892642350814
17,Atalanta,37,35.31919769977814
4,Torino,37,31.461773751385053
12,Fiorentina,37,28.4641442669046
2,Frosinone,37,25.082597951967777
0,Lecce,37,19.094778404552102
1,Venezia,36,18.486259828978152
