,Team,MP,xPts
7,Juventus,38,90.67292726543769
1,Roma,38,87.60958937226472
11,Sassuolo,38,79.86369886721396
3,Napoli,38,76.12140139749725
6,Cagliari,38,69.68626238293541
10,Como,38,68.96045672508409
13,Bologna,38,64.28319613961315
17,Monza,38,61.18000425195253
0,AC Milan,38,60.37214893049228
2,Inter Milan,38,57.192568911788186
8,Lazio,38,53.697571295905455
9,Udinese,38,50.421051383944736
15,Parma,38,47.7417357302479
16,Genoa,38,39.213892642350814
5,Atalanta,38,38.31919769977814
12,Torino,38,31.461773751385053
19,Fiorentina,38,28.4641442669046
14,Frosinone,38,25.082597951967777
4,Lecce,38,22.094778404552102
18,Venezia,38,18.486259828978152
