,Team,Avg Position,Title,CL,EL,UECL,Relegation
1,Juventus,1.5396,0.5997,0.995,0.0042,0.0005,0.0
0,Roma,2.0267,0.3193,0.979,0.0166,0.0036,0.0
3,Sassuolo,3.3888,0.0574,0.8346,0.0963,0.043,0.0
2,Napoli,4.2713,0.0193,0.6258,0.1879,0.1025,0.0
6,Cagliari,5.9032,0.0024,0.2253,0.2341,0.205,0.0
7,Como,6.0161,0.0017,0.213,0.2148,0.2105,0.0
5,Bologna,7.3865,0.0001,0.0687,0.1101,0.1737,0.0
4,Monza,8.4049,0.0001,0.0285,0.0594,0.1047,0.0
10,AC Milan,8.7245,0.0,0.0196,0.0456,0.0851,0.0
9,Inter Milan,9.6502,0.0,0.0078,0.0215,0.0445,0.0001
8,Lazio,10.6924,0.0,0.0023,0.0071,0.018,0.0002
14,Udinese,11.6249,0.0,0.0003,0.0019,0.0065,0.0005
13,Parma,12.3348,0.0,0.0001,0.0005,0.002,0.001
12,Genoa,14.4058,0.0,0.0,0.0,0.0002,0.0238
11,Atalanta,14.6671,0.0,0.0,0.0,0.0002,0.0367
15,Torino,16.2744,0.0,0.0,0.0,0.0,0.206
16,Fiorentina,16.9984,0.0,0.0,0.0,0.0,0.3626
18,Frosinone,17.7937,0.0,0.0,0.0,0.0,0.6084
17,Lecce,18.609,0.0,0.0,0.0,0.0,0.8262
19,Venezia,19.2877,0.0,0.0,0.0,0.0,0.9345
