,Team,MP,Pts
7,AC Milan,36,84.29962576124505
2,Inter Milan,36,81.40914623147015
6,Bologna,36,74.25112008211538
1,Sassuolo,36,71.03161666945473
4,Torino,36,70.36046606863661
12,Monza,36,69.04121570362382
13,Roma,36,63.94919305690986
16,Como,36,63.82714322469549
5,Udinese,36,61.2435959949157
3,Lazio,36,60.65938720155545
14,Napoli,36,60.21838552601864
18,Juventus,36,50.16474148960939
0,Venezia,36,40.272044125153705
15,Atalanta,36,39.36013335804597
11,Genoa,36,37.25778997697171
9,Lecce,36,32.713606019465274
17,Cagliari,36,21.85044462859065
19,Parma,36,12.780953750933849
8,Fiorentina,36,8.760353133626772
10,Frosinone,36,7.174701208237528
