,Team,MP,xPts
1,Inter Milan,38,92.64565436355426
0,Roma,38,89.26171981399499
7,Juventus,38,78.75406010639117
9,Napoli,38,72.63452315828346
2,Como,38,69.5610357730601
3,Lazio,38,65.60901674686987
8,Sassuolo,38,65.47863989212954
5,AC Milan,38,63.405637895188654
16,Bologna,38,59.50454834751125
13,Monza,38,58.40510846240818
12,Udinese,38,49.18168813354519
14,Torino,38,44.629792690710126
4,Cagliari,38,39.91608689692646
15,Fiorentina,38,39.23681178420401
10,Atalanta,38,34.78908310707803
18,Genoa,38,32.92971701632298
6,Frosinone,38,30.987291860073388
11,Lecce,38,30.228823131894988
17,Parma,38,27.98554458120316
19,Venezia,38,22.08992154035303
