,Team,Avg Position,Title,CL,EL,UECL,Relegation
0,Inter Milan,1.3889,0.6732,0.9996,0.0004,0.0,0.0
1,Roma,1.9329,0.2792,0.9957,0.0035,0.0007,0.0
2,Juventus,3.0072,0.0454,0.9455,0.0387,0.0104,0.0
3,Napoli,5.0462,0.0014,0.4518,0.236,0.1434,0.0
5,Sassuolo,6.1009,0.0002,0.2204,0.2106,0.1956,0.0
4,AC Milan,6.1363,0.0005,0.2175,0.2089,0.191,0.0
7,Como,7.4835,0.0001,0.0779,0.1122,0.1509,0.0
6,Lazio,7.9518,0.0,0.0482,0.0915,0.1264,0.0
9,Monza,8.2246,0.0,0.0353,0.0731,0.1171,0.0001
10,Bologna,9.8815,0.0,0.0064,0.0182,0.0436,0.0003
12,Torino,11.248,0.0,0.0008,0.0043,0.0137,0.0038
15,Udinese,12.3773,0.0,0.0005,0.0013,0.0042,0.013
8,Fiorentina,12.8165,0.0,0.0003,0.0011,0.0026,0.0203
13,Frosinone,13.7957,0.0,0.0,0.0002,0.0004,0.0417
14,Cagliari,14.6104,0.0,0.0001,0.0,0.0,0.0782
16,Atalanta,16.226,0.0,0.0,0.0,0.0,0.2742
17,Genoa,17.4497,0.0,0.0,0.0,0.0,0.5322
18,Lecce,17.6991,0.0,0.0,0.0,0.0,0.5855
11,Venezia,18.2721,0.0,0.0,0.0,0.0,0.7145
19,Parma,18.3514,0.0,0.0,0.0,0.0,0.7362
