,Team,MP,Pts
13,Inter Milan,33,71.17715236901827
1,Juventus,33,67.28942266268893
8,Roma,33,64.45664181642364
5,Como,33,62.61679212463773
3,Napoli,33,56.43182431985353
10,AC Milan,33,51.94190949047787
7,Monza,33,51.86563661150211
12,Atalanta,33,47.46169539194303
4,Bologna,33,46.58945636163195
2,Lazio,33,44.36483104890351
17,Sassuolo,33,43.680659172816554
0,Udinese,33,40.9483406684733
14,Torino,33,40.94542806755372
6,Fiorentina,33,39.48751673003866
9,Genoa,33,38.67070600419005
16,Cagliari,33,35.760565009646
18,Frosinone,33,34.98469184867012
19,Parma,33,28.08436552014569
11,Venezia,33,25.993902555492422
15,Lecce,33,25.880327553718946
