,Team,MP,xPts
1,Inter Milan,38,83.00652218414787
3,Juventus,38,78.10827317279323
7,Como,38,73.85360954623272
0,Roma,38,73.00104819680436
17,Monza,38,67.34210767067276
2,AC Milan,38,61.29854579433232
9,Napoli,38,60.94874385649718
4,Atalanta,38,59.680393577368335
5,Lazio,38,54.2416958863327
14,Bologna,38,53.51456928633838
6,Udinese,38,50.16649228184255
10,Sassuolo,38,47.31475951938147
13,Torino,38,44.35787588146798
15,Genoa,38,43.93486064598417
11,Cagliari,38,42.095210379631354
19,Fiorentina,38,41.19765256448699
8,Frosinone,38,38.45431103174813
12,Lecce,38,32.06478607450373
16,Parma,38,30.705606294363143
18,Venezia,38,24.93512817552703
