,Team,Avg Position,Title,CL,EL,UECL,Relegation
1,Inter Milan,1.7952,0.549,0.9676,0.0224,0.0068,0.0
4,Juventus,2.7259,0.2234,0.879,0.0653,0.0335,0.0
0,Como,3.2979,0.1274,0.7932,0.1093,0.0558,0.0
2,Roma,3.8864,0.0774,0.6798,0.1496,0.0845,0.0
3,Monza,5.3807,0.0162,0.3415,0.2302,0.1687,0.0
12,AC Milan,7.2598,0.003,0.1147,0.1236,0.1713,0.0004
5,Napoli,7.37,0.0017,0.1028,0.1176,0.1646,0.0004
6,Atalanta,7.8141,0.0016,0.0788,0.0992,0.1463,0.0004
10,Lazio,9.7427,0.0001,0.0169,0.0333,0.0576,0.0026
8,Bologna,9.9578,0.0002,0.0177,0.0285,0.057,0.004
9,Udinese,11.1964,0.0,0.0055,0.0128,0.0269,0.0148
7,Sassuolo,12.3759,0.0,0.0021,0.0041,0.0139,0.0324
14,Torino,13.4752,0.0,0.0001,0.0023,0.0058,0.0741
11,Genoa,14.0628,0.0,0.0002,0.0005,0.003,0.1026
13,Cagliari,14.3498,0.0,0.0,0.0007,0.0023,0.1211
16,Fiorentina,14.6923,0.0,0.0001,0.0005,0.0012,0.1543
17,Frosinone,15.6942,0.0,0.0,0.0001,0.0007,0.262
18,Lecce,17.7,0.0,0.0,0.0,0.0,0.6315
15,Parma,17.9551,0.0,0.0,0.0,0.0001,0.6823
19,Venezia,19.2678,0.0,0.0,0.0,0.0,0.9171
