,Team,MP,Pts
12,Brighton & Hove Albion,37,81.58412675119261
9,Manchester City,37,74.3126054304907
19,Liverpool,37,70.29606412120688
8,Brentford,37,69.80545028467105
17,Chelsea,37,68.48348858386684
1,Crystal Palace,37,65.51655516981617
4,Manchester United,37,61.06206659258547
7,Arsenal,37,60.34911778725327
3,Sunderland,37,53.17804504067843
15,AFC Bournemouth,37,51.09720502820359
2,Leeds United,37,50.82973855738416
14,Nottingham Forest,37,47.1884841004294
0,Ipswich Town,37,47.12187155039538
11,Hull City,37,39.88007031061736
13,Coventry City,37,39.539491816626175
18,Everton,37,35.88357264464653
6,Fulham,37,33.25264967204049
16,Tottenham Hotspur,37,31.8435304679605
10,Newcastle United,37,31.84114627844373
5,Aston Villa,37,20.781896817663394
