,Team,MP,xPts
0,Brighton & Hove Albion,38,84.58412675119261
7,Manchester City,38,77.3126054304907
2,Brentford,38,72.80545028467105
5,Chelsea,38,71.48348858386684
9,Liverpool,38,71.29606412120688
15,Crystal Palace,38,65.51655516981617
1,Arsenal,38,63.34911778725327
16,Manchester United,38,61.06206659258547
8,Leeds United,38,53.82973855738416
13,Sunderland,38,53.17804504067843
12,AFC Bournemouth,38,51.09720502820359
6,Ipswich Town,38,50.12187155039538
14,Nottingham Forest,38,47.1884841004294
3,Hull City,38,42.88007031061736
18,Coventry City,38,39.539491816626175
4,Everton,38,38.88357264464653
11,Fulham,38,33.25264967204049
10,Newcastle United,38,32.84114627844373
17,Tottenham Hotspur,38,31.8435304679605
19,Aston Villa,38,20.781896817663394
