,Team,MP,Simulated Pts,Simulated GD
0,Arsenal,37,79,41
1,Manchester City,36,74,38
2,Manchester United,38,68,15
3,Liverpool,38,65,12
4,Aston Villa,38,62,4
8,Brentford,38,57,8
10,Everton,38,57,4
6,AFC Bournemouth,37,55,2
7,Chelsea,37,52,12
5,Brighton & Hove Albion,38,52,5
14,Leeds United,38,52,1
9,Fulham,38,52,0
13,Newcastle United,38,52,0
11,Sunderland,38,50,-11
12,Crystal Palace,37,46,-8
15,Nottingham Forest,38,39,-13
16,West Ham United,38,37,-23
17,Tottenham Hotspur,37,35,-13
19,Wolverhampton Wanderers,38,23,-36
18,Burnley,37,23,-38
