,Team,Avg Position,Title,CL,EL,UECL,Relegation
1,Arsenal,1.2975,0.7025,1.0,0.0,0.0,0.0
0,Manchester City,1.7026,0.2975,1.0,0.0,0.0,0.0
3,Manchester United,3.4993,0.0,0.9918,0.0069,0.0011,0.0
2,Aston Villa,4.0992,0.0,0.9757,0.0196,0.0036,0.0
4,Liverpool,4.6359,0.0,0.88,0.0766,0.0284,0.0
6,Brighton & Hove Albion,7.6092,0.0,0.0491,0.2721,0.2173,0.0
7,Chelsea,7.9357,0.0,0.0415,0.2116,0.2202,0.0
11,AFC Bournemouth,8.5252,0.0,0.0165,0.1618,0.1759,0.0
5,Brentford,8.5777,0.0,0.0346,0.1432,0.1604,0.0
8,Everton,9.869,0.0,0.0074,0.0623,0.0957,0.0
12,Sunderland,11.1432,0.0,0.002,0.0249,0.0472,0.0
10,Fulham,11.7447,0.0,0.0006,0.0127,0.025,0.0
14,Crystal Palace,12.5975,0.0,0.0008,0.0068,0.0181,0.0
9,Newcastle United,12.87,0.0,0.0,0.0015,0.0071,0.0
13,Leeds United,14.0238,0.0,0.0,0.0,0.0,0.0001
15,Nottingham Forest,16.2454,0.0,0.0,0.0,0.0,0.063
16,West Ham United,17.292,0.0,0.0,0.0,0.0,0.4432
17,Tottenham Hotspur,17.3321,0.0,0.0,0.0,0.0,0.4937
18,Burnley,19.4794,0.0,0.0,0.0,0.0,1.0
19,Wolverhampton Wanderers,19.5206,0.0,0.0,0.0,0.0,1.0
