,Team,MP,Pts
7,Real Madrid,36,105.2604455049821
1,Espanyol,36,98.14815028760539
5,Osasuna,36,77.59496813002775
19,Levante,36,76.82286016366554
17,Alavés,36,72.19215848745036
6,Barcelona,36,70.19258429444204
3,Real Sociedad,36,68.55796503228508
8,Real Betis,36,66.23363213624988
14,Racing Santander,36,57.005122691601606
11,Valencia,36,50.789484799150124
18,Villarreal,36,49.275474326515535
9,Getafe,36,46.63822958860544
13,Celta Vigo,36,39.179589939276134
12,Rayo Vallecano,36,31.95481982757319
4,Elche,36,30.64714176519004
0,Athletic Club,36,29.23126177216734
10,Sevilla,36,24.158988282307952
16,Atlético Madrid,36,15.066946999282859
2,Deportivo La Coruña,36,6.476398826733484
15,Málaga,36,5.713584248560733
