,Team,MP,xPts
1,Real Madrid,38,111.2604455049821
7,Espanyol,38,101.14815028760539
6,Osasuna,38,81.59496813002775
16,Levante,38,77.82286016366554
0,Barcelona,38,76.19258429444204
4,Alavés,38,76.19215848745036
3,Real Betis,38,72.23363213624988
18,Real Sociedad,38,68.55796503228508
12,Racing Santander,38,58.005122691601606
14,Valencia,38,51.789484799150124
9,Villarreal,38,51.275474326515535
8,Getafe,38,49.63822958860544
13,Celta Vigo,38,40.179589939276134
11,Rayo Vallecano,38,32.95481982757319
17,Elche,38,31.64714176519004
2,Sevilla,38,30.158988282307952
19,Athletic Club,38,29.23126177216734
5,Atlético Madrid,38,19.06694699928286
10,Deportivo La Coruña,38,8.476398826733483
15,Málaga,38,6.713584248560733
