,Team,MP,Simulated Pts,Simulated GD
1,Real Madrid,38,114,343
7,Espanyol,38,106,248
6,Osasuna,38,85,121
4,Alavés,38,79,54
0,Barcelona,38,78,137
16,Levante,38,74,80
3,Real Betis,38,72,73
18,Real Sociedad,38,64,21
12,Racing Santander,38,63,19
8,Getafe,38,61,-12
14,Valencia,38,51,-6
9,Villarreal,38,49,-7
2,Sevilla,38,37,-202
11,Rayo Vallecano,38,31,-68
13,Celta Vigo,38,29,-38
19,Athletic Club,38,28,-29
17,Elche,38,22,-72
5,Atlético Madrid,38,20,-128
15,Málaga,38,8,-249
10,Deportivo La Coruña,38,7,-285
