,Team,Avg Position,Title,CL,EL,UECL,Relegation
0,Real Madrid,1.0112,0.9888,1.0,0.0,0.0,0.0
1,Espanyol,1.9916,0.0112,1.0,0.0,0.0,0.0
5,Osasuna,3.9728,0.0,0.7325,0.1384,0.0806,0.0
7,Levante,4.9832,0.0,0.4271,0.2204,0.1673,0.0
3,Barcelona,5.2501,0.0,0.3475,0.2238,0.2054,0.0
6,Alavés,5.348,0.0,0.3238,0.2153,0.2168,0.0
2,Real Betis,6.3952,0.0,0.121,0.14,0.209,0.0
4,Real Sociedad,7.3117,0.0,0.0471,0.0603,0.1138,0.0
8,Racing Santander,9.4037,0.0,0.001,0.0018,0.0061,0.0
9,Valencia,10.6911,0.0,0.0,0.0,0.0006,0.0
11,Villarreal,10.834,0.0,0.0,0.0,0.0001,0.0
10,Getafe,11.2033,0.0,0.0,0.0,0.0003,0.0
14,Celta Vigo,13.1297,0.0,0.0,0.0,0.0,0.0007
15,Rayo Vallecano,14.8955,0.0,0.0,0.0,0.0,0.0125
16,Elche,15.2208,0.0,0.0,0.0,0.0,0.0224
13,Sevilla,15.7388,0.0,0.0,0.0,0.0,0.0346
12,Athletic Club,15.786,0.0,0.0,0.0,0.0,0.0523
17,Atlético Madrid,17.8676,0.0,0.0,0.0,0.0,0.8777
19,Deportivo La Coruña,19.3579,0.0,0.0,0.0,0.0,0.9998
18,Málaga,19.6078,0.0,0.0,0.0,0.0,1.0
