,Team,MP,Pts
10,Marseille,33,73.40058909959659
13,Brest,33,64.83007163329525
5,Paris FC,33,64.78806570694213
3,Lens,33,63.68863635758542
2,Toulouse,33,59.488994036538315
11,Monaco,33,59.21918075845552
17,Lorient,33,56.17395559878167
7,Rennes,33,50.985306419799656
4,Angers,33,45.611200722419994
0,Paris Saint-Germain,33,39.75892644090989
14,Nice,33,36.70547269100327
8,Lille,33,36.25279103990152
15,Lyon,33,33.145398969269856
6,Havre,33,32.87073814264379
1,Auxerre,33,31.15497265574536
9,Le Mans,33,28.41026824789787
16,Troyes,33,26.75506071152821
12,Strasbourg,33,19.079910356231586
