,Team,MP,xPts
0,Marseille,34,76.40058909959659
1,Lens,34,66.68863635758542
5,Brest,34,65.83007163329525
10,Paris FC,34,65.78806570694213
4,Monaco,34,62.21918075845552
14,Toulouse,34,59.488994036538315
11,Lorient,34,57.17395559878167
7,Rennes,34,51.985306419799656
15,Angers,34,45.611200722419994
6,Paris Saint-Germain,34,40.75892644090989
2,Lille,34,39.25279103990152
12,Nice,34,37.70547269100327
3,Lyon,34,36.145398969269856
13,Havre,34,32.87073814264379
16,Auxerre,34,31.15497265574536
8,Le Mans,34,29.41026824789787
9,Troyes,34,27.75506071152821
17,Strasbourg,34,19.079910356231586
