,Team,Avg Position,Title,CL,EL,UECL,Relegation
0,Lens,1.0094,0.9917,1.0,0.0,0.0,0.0
1,Lille,3.1724,0.0024,0.8831,0.0882,0.0273,0.0
2,Lyon,3.191,0.0039,0.8713,0.116,0.0127,0.0
4,Marseille,3.4632,0.0018,0.791,0.1597,0.0468,0.0
3,Rennes,4.5439,0.0002,0.3917,0.4179,0.1731,0.0
6,Monaco,5.8615,0.0,0.0584,0.1851,0.5795,0.0
5,Strasbourg,6.8789,0.0,0.0045,0.0331,0.1601,0.0
10,Lorient,8.3287,0.0,0.0,0.0,0.0005,0.0
9,Brest,9.8187,0.0,0.0,0.0,0.0,0.0
7,Toulouse,9.8682,0.0,0.0,0.0,0.0,0.0
8,Paris FC,9.955,0.0,0.0,0.0,0.0,0.0
12,Angers,12.0588,0.0,0.0,0.0,0.0,0.0
11,Nice,13.0188,0.0,0.0,0.0,0.0,0.0
13,Auxerre,13.8534,0.0,0.0,0.0,0.0,0.0
14,Nantes,15.05,0.0,0.0,0.0,0.0,0.0
15,Metz,15.9281,0.0,0.0,0.0,0.0,0.0
