,Team,MP,Pts,GD
15,Bayern Munich,4,10.236305383198932,10.465856518102935
2,Borussia Dortmund,4,7.529664849519659,3.060680825654278
12,Bayer Leverkusen,4,7.2490932445331975,2.9494595266865953
1,RB Leipzig,4,7.126038960612645,2.6556366443648973
13,Hoffenheim,4,6.755758904242163,1.9375652033170883
8,Stuttgart,4,6.211584764537125,1.0771126437005962
4,Mainz 05,4,5.59788804339476,-0.2676294058988553
14,Freiburg,4,5.536312456786753,-0.0038286542582920413
10,Eintracht Frankfurt,4,5.463588121290185,-0.14597962299969014
11,Union Berlin,4,5.26695990869246,-0.5521043940520669
0,Borussia Mönchengladbach,4,4.957247813292806,-0.8391772694480291
7,Augsburg,4,4.944046027420001,-0.8980977186453809
3,FC Cologne,4,4.227864376963282,-3.2581308822949664
17,Wolfsburg,4,4.0972155670365025,-2.8835048014464615
6,Werder Bremen,4,4.027554681283036,-2.5171482479018144
5,Heidenheim,4,3.9775702049499175,-4.333084061229006
9,St. Pauli,4,3.8150331812601452,-2.9041748868209165
16,Hamburger SV,4,3.5244166492188884,-3.5434514168309112
