,Team,MP,xPts,xGD
0,Bayern Munich,34,89.91525679297467,89.63836499582547
1,Borussia Dortmund,34,72.62041096504176,36.25942308993443
2,RB Leipzig,34,67.2057788285255,25.83868059062411
4,Hoffenheim,34,62.121324973351335,17.549638558833763
3,Stuttgart,34,61.115514006378426,19.917247822736915
5,Bayer Leverkusen,34,60.33217574010174,22.091300138799443
7,Freiburg,34,47.615497806223196,-7.277273079895464
6,Eintracht Frankfurt,34,47.02418779190482,-2.259456826958723
8,Augsburg,34,40.68577855463903,-16.703949279628823
9,Mainz 05,34,39.14435149372141,-8.457587959656864
12,Union Berlin,34,36.31618794315297,-19.77965903106266
10,Borussia Mönchengladbach,34,35.56768672811801,-14.846729196380828
11,Werder Bremen,34,35.327753263328155,-19.331298410294046
13,FC Cologne,34,34.36752716986811,-10.323232603991313
14,Hamburger SV,34,33.50474768410731,-18.973087348798682
15,St. Pauli,34,28.75119873862881,-29.529314398065623
16,Wolfsburg,34,27.71594806835455,-27.771669724427248
17,Heidenheim,34,24.142177498535354,-36.04139733759386
