,Team,Avg Position,Title,CL,EL,UECL,Relegation
0,Bayern Munich,1.0,1.0,1.0,0.0,0.0,0.0
1,Borussia Dortmund,2.0015,0.0,1.0,0.0,0.0,0.0
3,Hoffenheim,3.3471,0.0,1.0,0.0,0.0,0.0
2,Bayer Leverkusen,3.6514,0.0,1.0,0.0,0.0,0.0
4,Freiburg,5.3985,0.0,0.0,0.6081,0.3855,0.0
5,Eintracht Frankfurt,5.6231,0.0,0.0,0.3913,0.5949,0.0
6,Augsburg,7.5831,0.0,0.0,0.0006,0.0139,0.0
8,Mainz 05,7.9534,0.0,0.0,0.0,0.0057,0.0
9,Union Berlin,9.5179,0.0,0.0,0.0,0.0,0.0
7,FC Cologne,10.2824,0.0,0.0,0.0,0.0,0.0
11,Werder Bremen,10.6649,0.0,0.0,0.0,0.0,0.0
10,Hamburger SV,11.0869,0.0,0.0,0.0,0.0,0.0
13,St. Pauli,13.3355,0.0,0.0,0.0,0.0,0.0
12,Wolfsburg,13.5543,0.0,0.0,0.0,0.0,0.0
