,Team,MP,Pts
18,Roma,37,89.51488227443275
4,Juventus,37,80.47929875673256
15,Sassuolo,37,69.98093673623609
2,Bologna,37,67.83345440753325
14,Napoli,37,62.79735278483548
10,Venezia,37,58.72316564011599
8,Inter Milan,37,56.42352593784149
9,Cagliari,37,54.377257795854334
11,Como,37,54.28827648795572
1,AC Milan,37,51.51253126615438
3,Udinese,37,51.12259625116392
13,Parma,37,49.006985253524626
17,Monza,37,47.56471632438343
19,Lecce,37,47.31484879144252
16,Genoa,37,39.551701077795805
6,Torino,37,38.48380865551888
7,Lazio,37,36.400776787495616
12,Atalanta,37,34.922314683249006
0,Frosinone,37,24.163895357563792
5,Fiorentina,37,16.522438580422033
