,Team,MP,xPts
0,Roma,38,92.51488227443275
7,Juventus,38,83.47929875673256
11,Sassuolo,38,69.98093673623609
13,Bologna,38,67.83345440753325
2,Napoli,38,65.79735278483548
1,Inter Milan,38,59.42352593784149
16,Venezia,38,58.72316564011599
6,Cagliari,38,57.377257795854334
10,Como,38,55.28827648795572
4,AC Milan,38,54.51253126615438
9,Udinese,38,52.12259625116392
3,Lecce,38,50.31484879144252
15,Parma,38,49.006985253524626
18,Monza,38,47.56471632438343
17,Genoa,38,39.551701077795805
8,Lazio,38,39.400776787495616
12,Torino,38,38.48380865551888
5,Atalanta,38,37.922314683249006
14,Frosinone,38,24.163895357563792
19,Fiorentina,38,16.522438580422033
