,Team,Avg Position,Title,CL,EL,UECL,Relegation
0,Inter Milan,1.0002,0.9998,1.0,0.0,0.0,0.0
1,AC Milan,2.549,0.0002,0.9646,0.029,0.006,0.0
3,Napoli,3.2247,0.0,0.8936,0.0855,0.0202,0.0
2,Juventus,3.8452,0.0,0.7496,0.1927,0.0541,0.0
4,Como,4.9757,0.0,0.2821,0.4049,0.2605,0.0
5,Roma,5.6724,0.0,0.1052,0.2503,0.4827,0.0
6,Atalanta,6.7482,0.0,0.0049,0.0376,0.1765,0.0
9,Lazio,8.646,0.0,0.0,0.0,0.0,0.0
7,Bologna,8.8838,0.0,0.0,0.0,0.0,0.0
10,Sassuolo,10.1238,0.0,0.0,0.0,0.0,0.0
8,Udinese,11.0066,0.0,0.0,0.0,0.0,0.0
14,Genoa,12.7668,0.0,0.0,0.0,0.0,0.0
13,Torino,13.2187,0.0,0.0,0.0,0.0,0.0
12,Parma,13.5749,0.0,0.0,0.0,0.0,0.0001
11,Fiorentina,13.9045,0.0,0.0,0.0,0.0,0.0
16,Cagliari,16.0582,0.0,0.0,0.0,0.0,0.019
18,Cremonese,17.3126,0.0,0.0,0.0,0.0,0.4171
15,Lecce,17.5235,0.0,0.0,0.0,0.0,0.5683
17,Pisa,19.3658,0.0,0.0,0.0,0.0,0.9963
19,Verona,19.5994,0.0,0.0,0.0,0.0,0.9992
