,Team,MP,xPts
9,Arsenal,38,94.21281530502715
0,Manchester City,38,89.58766965179349
8,Brighton & Hove Albion,38,87.94392881426886
3,Brentford,38,84.2616004657137
13,Nottingham Forest,38,66.21096014974064
2,Chelsea,38,66.20112049670907
7,Leeds United,38,58.79427679280361
6,Ipswich Town,38,56.69573186345464
18,Crystal Palace,38,52.50767708914288
16,Coventry City,38,51.431299224642096
12,AFC Bournemouth,38,50.51930603694118
10,Sunderland,38,47.16006165131837
11,Liverpool,38,44.79160782110443
5,Everton,38,42.88061481387835
15,Fulham,38,39.70683018766442
1,Hull City,38,32.056418460971535
4,Newcastle United,38,28.529137985647047
14,Manchester United,38,28.483536092097303
19,Tottenham Hotspur,38,27.291752648730412
17,Aston Villa,38,15.880231956712661
